Album/Artist                                                                                                        |  Size | Type | Quality
============================================================================================================================================
Musicas                                                                                                             | 13.7M | MP3  | 320 C
    3 Doors Down                                                                                                    |       |      | 
        2002 - Away From The Sun (Special Edition)                                                                  |  366M | FLAC | 950 L
    30 Seconds To Mars                                                                                              |       |      | 
        2002 - 30 Seconds To Mars                                                                                   |  369M | FLAC | 971 L
        2006 - A Beautiful Lie (Deluxe Edition)                                                                     |  347M | FLAC | 815 L
        2009 - This Is War                                                                                          |  395M | FLAC | 912 L
    1200 Micrograms                                                                                                 |       |      | 
        2002 - 1200 Micrograms                                                                                      |  147M | MP3  | 320 C
        2003 - Heroes of the Imagination                                                                            |  146M | MP3  | 320 C
        2004 - The Time Machine                                                                                     |  144M | MP3  | 320 C
        2005 - Live in Brazil                                                                                       |  169M | MP3  | 320 C
        2006 - 1200 Micrograms Remixes                                                                              |  155M | MP3  | 320 C
        2007 - Magic Numbers                                                                                        |  140M | MP3  | 320 C
    A Barca Do Sol                                                                                                  |       |      | 
        1974 - A Barca do Sol                                                                                       | 50.8M | MP3  | 189 ~
        1976 - Durante o Verão                                                                                      | 62.9M | MP3  | 256 C
        1979 - Pirata                                                                                               | 43.7M | MP3  | 128 C
    ABBA                                                                                                            |       |      | 
        1992 - Gold - Greatest Hits                                                                                 |  177M | MP3  | 320 C
        1994 - Thank You For The Music                                                                              |       |      | 
            CD1                                                                                                     |  468M | FLAC | 945 L
            CD2                                                                                                     |  441M | FLAC | 950 L
            CD3                                                                                                     |  447M | FLAC | 927 L
            CD4                                                                                                     |  489M | FLAC | 920 L
        Ring Ring 1973                                                                                              |  303M | FLAC | 934 L
        Voulez -Vous  1979                                                                                          |  382M | FLAC | 985 L
    A Bolha                                                                                                         |       |      | 
        1973 - Um Passo a Frente                                                                                    |  116M | MP3  | 320 C
    Acanthe                                                                                                         |       |      | 
        Someone Somewhere                                                                                           |  131M | MP3  | 320 C
    AC-DC                                                                                                           |       |      | 
        1974 - High Voltage (australian version)                                                                    | 91.6M | MP3  | -b 320
        1975 - T.N.T                                                                                                |  104M | MP3  | 320 C
        1976 - Dirty Deeds Done Dirt Cheap                                                                          | 91.6M | MP3  | -b 320
        1976 - Dirty Deeds Done Dirt Cheap (Australian Version)                                                     | 98.3M | MP3  | -b 320
        1976 - High Voltage                                                                                         |  101M | MP3  | -b 320
        1977 - Let There Be Rock                                                                                    | 75.1M | MP3  | -V0
        1978 - If You Want Blood, You've Got It                                                                     |  120M | MP3  | 320 C
        1978 - Powerage                                                                                             | 91.4M | MP3  | -b 320
        1979 - Highway To Hell                                                                                      | 72.8M | MP3  | -aps
        1980 - Back in Black                                                                                        | 96.5M | MP3  | -b 320
        1981 - For Those About To Rock We Salute You                                                                | 92.0M | MP3  | -b 320
        1983 - Flick Of The Switch                                                                                  | 85.1M | MP3  | -b 320
        1984 - '74 Jailbreak                                                                                        | 56.0M | MP3  | -b 320
        1985 - Fly On The Wall                                                                                      | 92.8M | MP3  | -b 320
        1986 - Who Made Who                                                                                         | 86.9M | MP3  | -b 320
        1988 - Blow Up Your Video                                                                                   | 98.4M | MP3  | -b 320
        1990 - The Razor's Edge                                                                                     |  106M | MP3  | 320 C
        1992 - AC-DC Live- Collector's Edition 2 Disc                                                               |       |      | 
            CD1                                                                                                     |  161M | MP3  | -b 320
            CD2                                                                                                     |  141M | MP3  | -b 320
        1995 - Ballbreaker                                                                                          |  115M | MP3  | -b 320
        1997 - Let There Be Rock - The Movie (Live in Paris)                                                        |       |      | 
            CD1                                                                                                     | 91.9M | MP3  | -b 320
            CD2                                                                                                     | 90.2M | MP3  | -b 320
        1997 - Live from the Atlantic Studios                                                                       |  103M | MP3  | -b 320
        1997 - Volts                                                                                                |  118M | MP3  | -b 320
        2000 - Stiff Upper Lip                                                                                      |  108M | MP3  | -b 320
        2008 - Black Ice                                                                                            |  128M | MP3  | 320 C
    Adam Freeland                                                                                                   |       |      | 
        2010 - How To Fake Your Own Life CDR Promo                                                                  |  132M | FLAC | 1009 L
    Adriana Calcanhotto                                                                                             |       |      | 
        1998 - Autêntico                                                                                            | 92.6M | MP3  | 320 C
    Aerosmith                                                                                                       |       |      | 
        1975 - Toys In The Attic                                                                                    | 85.7M | MP3  | 320 C
        1980 - Greatest Hits                                                                                        | 86.2M | MP3  | 320 C
        1989 - Pump                                                                                                 |  109M | MP3  | -b 320
        Aerosmith (1976) Rocks                                                                                      |  227M | FLAC | 922 L
        Aerosmith - 1985 - Done With Mirrors                                                                        |  295M | FLAC | 1034 L
        Aerosmith - 1993 - Get a Grip                                                                               |  477M | FLAC | 1019 L
        Aerosmith - 2005 - Gold (MP3 - [320 kbps])                                                                  |       |      | 
            Aerosmith - 2005 - Gold (Disc 1)                                                                        |  180M | MP3  | -b 320
            Aerosmith - 2005 - Gold (Disc 2)                                                                        |  182M | MP3  | -b 320
        Aerosmith - Aerosmith                                                                                       |  223M | FLAC | 872 L
        Aerosmith - Draw the Line                                                                                   | 80.8M | MP3  | -b 320
        Aerosmith - Night In The Ruts                                                                               |  243M | FLAC | 953 L
        Get Your Wings [1974]                                                                                       |  236M | FLAC | 870 L
        Permanent Vacation                                                                                          |  348M | FLAC | 942 L
        Rock In A Hard Place [1982]                                                                                 |  263M | FLAC | 913 L
    A Fine Frenzy                                                                                                   |       |      | 
        2007 - One Cell in the Sea                                                                                  |  384M | FLAC | 869 L
    African Scream Contest                                                                                          |       |      | 
        2008 - African Scream Contest: Raw & Psychedelic Afro Sounds From Benin & Togo 70s                          |  444M | FLAC | 839 L
    After Forever                                                                                                   |       |      | 
        After Forever                                                                                               | 91.5M | MP3  | 220 V
        After_Forever_-_Invisible_Circles                                                                           | 81.2M | MP3  | 192 C
        Decipher                                                                                                    | 75.4M | MP3  | 192 C
        Exordium                                                                                                    | 61.2M | MP3  | 320 C
        Follow in the Cry (Single)                                                                                  | 25.4M | MP3  | 192 C
        Invisible Circles                                                                                           | 81.4M | MP3  | 192 C
        Mea Culpa                                                                                                   |  227M | MP3  | 216 V
        Prison of Desire                                                                                            |  124M | MP3  | 320 C
        Remagine                                                                                                    | 90.0M | MP3  | 207 ~
    After Tea                                                                                                       |       |      | 
        1970 - Jointhouse Blues                                                                                     |  115M | MP3  | 95 ~
    Agents Of Oblivion                                                                                              |       |      | 
        2000 - Agents of Oblivion                                                                                   |  392M | FLAC | 885 L
    A-ha                                                                                                            |       |      | 
        1985 - Hunting High and Low                                                                                 | 85.8M | MP3  | 320 C
        1990 - East of the Sun, West of the Moon                                                                    |  105M | MP3  | 320 C
